Term,Pattern
Distribute,distribute
Distribute,redistribute
Modify,modify
Modify,change
Modify,generate any modifications
Modify,derivative works
Commercial Use,commercial Use
Commercial Use,sell
Commercial Use,offer of sale
Commercial Use,resale
Commercial Use,use for any purpose
Hold Liable,hold Liable
Hold Liable,liable
Hold Liable,without any warranty
Include Copyright,include Copyright
Include Copyright,copyright notice
Include License,copy this License
Include License,permission notice
Sublicense,sublicense
Sublicense,sub-license
Use Trademark,use Trademark
Use Trademark,trademark
Use Trademark,service mark
Use Trademark,product name
Use Trademark,marks or logos
Use Trademark,names of authors not used advertising
Private Use,private Use
Private Use,use
Private Use,copy
Disclose Source,disclose Source
Disclose Source,available source code
Disclose Source,made receive source code
Disclose Source,made get source code
State Changes,state Changes
State Changes,stating changed
State Changes,documented modifications
Place Warranty,place Warranty
Place Warranty,fee warranty
Place Warranty,fee warranties
Place Warranty,offer support warranty for fee
Include Notice,include NOTICE file
Include Notice,all the notices
Include Notice,instrument retain
Include Notice,guidelines kept
Include Original,include Original
Include Original,accompany source code
Give Credit,give Credit
Give Credit,credit
Give Credit,acknowledgment
Give Credit,include attribution notice
Use Patent Claims,use Patent Claims
Use Patent Claims,assert patent claim
Rename,rename
Rename,not misrepresented
Rename,not use the same name
Relicense,relicense
Relicense,distribute license choice contain terms different compliance
Relicense,distribute different license make absolutely clear differ alone
Contact Author,contact Author
Contact Author,my written consent
Contact Author,let us know
Contact Author,assist with problems
Include Install Instructions,include Install Instructions
Include Install Instructions,Installation Information
Include Install Instructions,Install Instructions
Compensate for Damages,compensate for Damages
Statically Link,statically Link
Statically Link,static link
Pay Above Use Threshold,pay Above Use Threshold
Pay Above Use Threshold,use payment
Pay Above Use Threshold,use with fee
Pay Above Use Threshold,use purchase
